"","Datum","mTemp","mWind","mRegen","mSonne","Oil","month_sin","month_cos","day_of_week_sin","day_of_week_cos","mEURmwh"
"1701",2023-03-15,1.55688622754491,4.01736526946108,0.767065868263473,5.26826347305389,74.3,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,127.724583333333
"1702",2023-03-16,3.23592814371257,3.84550898203593,0.0245508982035928,7.73173652694611,73.12,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,106.066145833333
"1703",2023-03-16,3.23592814371257,3.84550898203593,0.0245508982035928,7.73173652694611,73.12,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,105.574583333333
"1704",2023-03-17,8.27425149700599,3.95928143712575,0.422754491017964,6.06826347305389,71.03,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,92.1203125
"1705",2023-03-17,8.27425149700599,3.95928143712575,0.422754491017964,6.06826347305389,71.03,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,92.3475
"1706",2023-03-18,10.210119047619,2.91488095238095,0.828571428571429,6.14345238095238,71.03,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,109.168645833333
"1707",2023-03-18,10.210119047619,2.91488095238095,0.828571428571429,6.14345238095238,71.03,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,109.3375
"1708",2023-03-19,9.34191616766467,2.59880239520958,2.08862275449102,2.80359281437126,71.03,1,6.12303176911189e-17,-2.44921270764475e-16,1,111.871875
"1709",2023-03-19,9.34191616766467,2.59880239520958,2.08862275449102,2.80359281437126,71.03,1,6.12303176911189e-17,-2.44921270764475e-16,1,111.992083333333
"1710",2023-03-20,7.91385542168675,3.40361445783133,0.478915662650602,0.690963855421687,72.42,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,125.307916666667
"1711",2023-03-20,7.91385542168675,3.40361445783133,0.478915662650602,0.690963855421687,72.42,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,125.172916666667
"1712",2023-03-21,8.64311377245509,2.95209580838323,1.48083832335329,1.77305389221557,74.78,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,115.3071875
"1713",2023-03-21,8.64311377245509,2.95209580838323,1.48083832335329,1.77305389221557,74.78,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,115.0525
"1714",2023-03-22,10.5526946107784,4.62874251497006,1.91736526946108,4.88383233532934,76.08,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,80.2747916666667
"1715",2023-03-22,10.5526946107784,4.62874251497006,1.91736526946108,4.88383233532934,76.08,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,80.1779166666667
"1716",2023-03-23,11.2389221556886,5.14790419161677,3.06347305389222,1.47125748502994,74.31,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,74.7714583333333
"1717",2023-03-23,11.2389221556886,5.14790419161677,3.06347305389222,1.47125748502994,74.31,1,6.12303176911189e-17,-0.433883739117558,-0.900968867902419,74.7095833333333
"1718",2023-03-24,10.5365269461078,5.68622754491018,4.80119760479042,2.74191616766467,73.63,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,53.2455208333333
"1719",2023-03-24,10.5365269461078,5.68622754491018,4.80119760479042,2.74191616766467,73.63,1,6.12303176911189e-17,-0.974927912181824,-0.222520933956315,53.1158333333333
"1720",2023-03-25,7.66084337349398,6.52349397590361,4.59578313253012,3.11626506024096,73.63,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,14.9947916666667
"1721",2023-03-25,7.66084337349398,6.52349397590361,4.59578313253012,3.11626506024096,73.63,1,6.12303176911189e-17,-0.78183148246803,0.623489801858733,16.0954166666667
"1722",2023-03-26,6.12048192771084,4.62951807228916,6.44879518072289,2.14939759036145,73.63,1,6.12303176911189e-17,-2.44921270764475e-16,1,69.9578260869565
"1723",2023-03-26,6.12048192771084,4.62951807228916,6.44879518072289,2.14939759036145,73.63,1,6.12303176911189e-17,-2.44921270764475e-16,1,70.6239130434783
"1724",2023-03-27,2.1144578313253,5.33072289156626,1.80481927710843,5.63734939759036,76.8,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,92.3514583333333
"1725",2023-03-27,2.1144578313253,5.33072289156626,1.80481927710843,5.63734939759036,76.8,1,6.12303176911189e-17,0.78183148246803,0.623489801858734,92.3183333333333
"1726",2023-03-28,2.52048192771084,3.91686746987952,0.422289156626506,7.29518072289157,78.07,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,112.947916666667
"1727",2023-03-28,2.52048192771084,3.91686746987952,0.422289156626506,7.29518072289157,78.07,1,6.12303176911189e-17,0.974927912181824,-0.222520933956314,113.15125
"1728",2023-03-29,7.17185628742515,3.79221556886228,1.2940119760479,0.920359281437126,77.51,1,6.12303176911189e-17,0.433883739117558,-0.900968867902419,116.707708333333
